date,wrong,right
2016-08-02,0.42,0.46
2016-08-09,0.44,0.45
2016-08-17,0.43,0.46
2016-08-23,0.43,0.45
2016-08-31,0.44,0.47
2016-09-14,0.43,0.46
2016-10-12,0.44,0.45
2016-10-20,0.44,0.45
2016-11-15,0.43,0.46
2016-11-29,0.45,0.44
2016-12-05,0.42,0.44
2016-12-19,0.44,0.44
2017-01-04,0.43,0.47
2017-01-10,0.42,0.46
2017-01-18,0.42,0.46
2017-01-31,0.42,0.45
2017-02-13,0.42,0.46
2017-02-22,0.45,0.45
2017-02-28,0.44,0.45
2017-03-14,0.42,0.44
2017-03-15,0.41,0.46
2017-03-21,0.44,0.44
2017-03-27,0.43,0.44
2017-04-06,0.42,0.46
2017-04-13,0.43,0.45
2017-04-19,0.43,0.46
2017-04-21,0.44,0.44
2017-04-26,0.45,0.43
2017-05-03,0.43,0.46
2017-05-10,0.45,0.44
2017-05-14,0.41,0.45
2017-05-17,0.43,0.46
2017-05-25,0.43,0.46
2017-05-31,0.45,0.44
2017-06-07,0.45,0.45
2017-06-13,0.45,0.44
2017-06-22,0.45,0.44
2017-07-11,0.43,0.45
2017-07-19,0.43,0.43
2017-08-01,0.45,0.45
2017-08-22,0.45,0.43
2017-08-31,0.44,0.44
2017-09-24,0.45,0.44
2017-10-11,0.47,0.42
2017-10-19,0.45,0.42
2017-10-20,0.44,0.42
2017-10-24,0.45,0.43
2017-11-08,0.46,0.42
2017-12-05,0.45,0.42
2017-12-11,0.45,0.44
2017-12-20,0.45,0.42
2018-01-08,0.46,0.42
2018-01-17,0.44,0.45
2018-01-29,0.46,0.4
2018-02-06,0.44,0.43
2018-02-13,0.46,0.42
2018-02-20,0.45,0.42
2018-02-27,0.45,0.44
2018-03-06,0.45,0.43
2018-03-23,0.48,0.44
2018-03-27,0.45,0.42
2018-04-10,0.46,0.42
2018-04-17,0.45,0.42
2018-04-25,0.45,0.42
2018-05-01,0.47,0.42
2018-05-09,0.45,0.43
2018-05-14,0.45,0.44
2018-05-21,0.44,0.43
2018-05-29,0.47,0.4
2018-06-05,0.44,0.44
2018-06-12,0.46,0.43
2018-06-19,0.44,0.43
2018-06-20,0.45,0.44
2018-06-26,0.46,0.43
2018-07-04,0.46,0.41
2018-07-09,0.46,0.42
2018-07-11,0.46,0.41
2018-07-17,0.47,0.42
2018-07-23,0.46,0.42
2018-08-09,0.45,0.42
2018-08-13,0.47,0.43
2018-08-14,0.45,0.43
2018-08-21,0.47,0.41
2018-08-29,0.47,0.42
2018-09-04,0.48,0.42
